[DEBUG] 2019-10-01 21-13-29.932 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-01 21-13-29.938 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-01 21-13-29.944 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-01 21-13-30.031 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-01 21-13-30.034 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-01 21-13-30.391 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-01 21-13-30.392 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-01 21-13-30.401 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-01 21-13-30.724 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-01 21-13-30.742 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-01 21-13-30.743 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-01 21-13-30.757 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-01 21-13-30.927 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@621f89b8
[DEBUG] 2019-10-01 21-13-30.927 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@621f89b8
[DEBUG] 2019-10-01 21-13-30.928 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@621f89b8
[DEBUG] 2019-10-01 21-13-30.928 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@53e3a87a
[DEBUG] 2019-10-01 21-13-30.928 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3d43fe
[DEBUG] 2019-10-01 21-13-30.929 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5fb7183b
[DEBUG] 2019-10-01 21-13-30.930 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@576c5536
[DEBUG] 2019-10-01 21-13-30.930 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@576c5536
[DEBUG] 2019-10-01 21-13-30.930 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@576c5536
[DEBUG] 2019-10-01 21-13-30.931 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@159a48a6
[DEBUG] 2019-10-01 21-13-30.931 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@159a48a6
[DEBUG] 2019-10-01 21-13-30.931 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@159a48a6
[DEBUG] 2019-10-01 21-13-30.931 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3cbcd8f3
[DEBUG] 2019-10-01 21-13-30.931 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3cbcd8f3
[DEBUG] 2019-10-01 21-13-30.931 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3cbcd8f3
[DEBUG] 2019-10-01 21-13-30.932 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7ec25216
[DEBUG] 2019-10-01 21-13-30.932 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7ec25216
[DEBUG] 2019-10-01 21-13-30.932 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7ec25216
[DEBUG] 2019-10-01 21-13-30.933 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@705f83a7
[DEBUG] 2019-10-01 21-13-30.933 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@705f83a7
[DEBUG] 2019-10-01 21-13-30.933 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@705f83a7
[DEBUG] 2019-10-01 21-13-30.934 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2679311f
[DEBUG] 2019-10-01 21-13-30.934 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2679311f
[DEBUG] 2019-10-01 21-13-30.934 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2679311f
[DEBUG] 2019-10-01 21-13-30.935 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2e34384c
[DEBUG] 2019-10-01 21-13-30.935 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2e34384c
[DEBUG] 2019-10-01 21-13-30.935 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2e34384c
[DEBUG] 2019-10-01 21-13-30.936 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3fa76c61
[DEBUG] 2019-10-01 21-13-30.936 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3fa76c61
[DEBUG] 2019-10-01 21-13-30.936 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7b3315a5
[DEBUG] 2019-10-01 21-13-30.936 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7b3315a5
[DEBUG] 2019-10-01 21-13-30.937 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2ce45a7b
[DEBUG] 2019-10-01 21-13-30.937 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2ce45a7b
[DEBUG] 2019-10-01 21-13-30.938 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@545e57d7
[DEBUG] 2019-10-01 21-13-30.938 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@64bfd6fd
[DEBUG] 2019-10-01 21-13-30.940 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@2ba33e2c
[DEBUG] 2019-10-01 21-13-30.940 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@2ba33e2c
[DEBUG] 2019-10-01 21-13-30.941 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@629ae7e
[DEBUG] 2019-10-01 21-13-30.941 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@629ae7e
[DEBUG] 2019-10-01 21-13-30.947 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@dca2615
[DEBUG] 2019-10-01 21-13-30.948 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@dca2615
[DEBUG] 2019-10-01 21-13-30.949 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@1d96d872
[DEBUG] 2019-10-01 21-13-30.949 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@1d96d872
[DEBUG] 2019-10-01 21-13-30.950 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@1dc2de84
[DEBUG] 2019-10-01 21-13-30.950 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@1dc2de84
[DEBUG] 2019-10-01 21-13-30.951 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@44de0113
[DEBUG] 2019-10-01 21-13-30.951 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@44de0113
[DEBUG] 2019-10-01 21-13-30.952 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5177e388
[DEBUG] 2019-10-01 21-13-30.952 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5177e388
[DEBUG] 2019-10-01 21-13-30.954 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3047254d
[DEBUG] 2019-10-01 21-13-30.954 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3047254d
[DEBUG] 2019-10-01 21-13-30.955 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1f966492
[DEBUG] 2019-10-01 21-13-30.955 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1f966492
[DEBUG] 2019-10-01 21-13-30.956 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@6e57b5e9
[DEBUG] 2019-10-01 21-13-30.957 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@6e57b5e9
[DEBUG] 2019-10-01 21-13-30.957 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@3e4f80cb
[DEBUG] 2019-10-01 21-13-30.958 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@3e4f80cb
[DEBUG] 2019-10-01 21-13-30.959 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@51d143a1
[DEBUG] 2019-10-01 21-13-30.959 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@51d143a1
[DEBUG] 2019-10-01 21-13-30.959 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@51d143a1
[DEBUG] 2019-10-01 21-13-30.960 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@359b650b
[DEBUG] 2019-10-01 21-13-30.961 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@640dc4c6
[DEBUG] 2019-10-01 21-13-30.961 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@640dc4c6
[DEBUG] 2019-10-01 21-13-30.962 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@640dc4c6
[DEBUG] 2019-10-01 21-13-30.962 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@44de94c3
[DEBUG] 2019-10-01 21-13-30.963 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1f387978
[DEBUG] 2019-10-01 21-13-30.963 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1f387978
[DEBUG] 2019-10-01 21-13-30.964 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@48535004
[DEBUG] 2019-10-01 21-13-30.964 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@48535004
[DEBUG] 2019-10-01 21-13-30.965 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@1aa99005
[DEBUG] 2019-10-01 21-13-30.965 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@1aa99005
[DEBUG] 2019-10-01 21-13-30.965 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@33b082c5
[DEBUG] 2019-10-01 21-13-30.965 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@33b082c5
[DEBUG] 2019-10-01 21-13-30.966 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@14379273
[DEBUG] 2019-10-01 21-13-30.966 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@14379273
[DEBUG] 2019-10-01 21-13-30.966 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@345cf395
[DEBUG] 2019-10-01 21-13-30.967 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@7a231dfd
[DEBUG] 2019-10-01 21-13-30.967 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@7a231dfd
[DEBUG] 2019-10-01 21-13-30.967 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@7a231dfd
[DEBUG] 2019-10-01 21-13-30.968 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@4992613f
[DEBUG] 2019-10-01 21-13-30.968 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@4992613f
[DEBUG] 2019-10-01 21-13-30.968 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@4992613f
[DEBUG] 2019-10-01 21-13-30.969 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@26a4551a
[DEBUG] 2019-10-01 21-13-30.970 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@50194e8d
[DEBUG] 2019-10-01 21-13-30.970 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@408b87aa
