[DEBUG] 2019-10-01 20-34-52.338 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-01 20-34-52.343 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-01 20-34-52.347 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-01 20-34-52.446 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-01 20-34-52.448 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-01 20-34-52.664 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-01 20-34-52.666 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-01 20-34-52.676 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-01 20-34-52.929 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-01 20-34-52.944 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-01 20-34-52.945 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-01 20-34-52.960 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-01 20-34-53.132 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6a84bc3f
[DEBUG] 2019-10-01 20-34-53.133 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6a84bc3f
[DEBUG] 2019-10-01 20-34-53.133 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6a84bc3f
[DEBUG] 2019-10-01 20-34-53.133 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@22bd2039
[DEBUG] 2019-10-01 20-34-53.133 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@256a1825
[DEBUG] 2019-10-01 20-34-53.134 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2679311f
[DEBUG] 2019-10-01 20-34-53.135 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3051e0b2
[DEBUG] 2019-10-01 20-34-53.135 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3051e0b2
[DEBUG] 2019-10-01 20-34-53.135 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3051e0b2
[DEBUG] 2019-10-01 20-34-53.135 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2d5f7182
[DEBUG] 2019-10-01 20-34-53.136 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2d5f7182
[DEBUG] 2019-10-01 20-34-53.136 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2d5f7182
[DEBUG] 2019-10-01 20-34-53.137 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@8ed9cf
[DEBUG] 2019-10-01 20-34-53.137 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@8ed9cf
[DEBUG] 2019-10-01 20-34-53.137 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@8ed9cf
[DEBUG] 2019-10-01 20-34-53.138 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@153d4abb
[DEBUG] 2019-10-01 20-34-53.139 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@153d4abb
[DEBUG] 2019-10-01 20-34-53.139 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@153d4abb
[DEBUG] 2019-10-01 20-34-53.140 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@64bfd6fd
[DEBUG] 2019-10-01 20-34-53.140 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@64bfd6fd
[DEBUG] 2019-10-01 20-34-53.140 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@64bfd6fd
[DEBUG] 2019-10-01 20-34-53.141 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2ba33e2c
[DEBUG] 2019-10-01 20-34-53.141 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2ba33e2c
[DEBUG] 2019-10-01 20-34-53.141 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2ba33e2c
[DEBUG] 2019-10-01 20-34-53.141 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@629ae7e
[DEBUG] 2019-10-01 20-34-53.141 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@629ae7e
[DEBUG] 2019-10-01 20-34-53.142 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@629ae7e
[DEBUG] 2019-10-01 20-34-53.142 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@42fcc7e6
[DEBUG] 2019-10-01 20-34-53.142 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@42fcc7e6
[DEBUG] 2019-10-01 20-34-53.143 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7c3ebc6b
[DEBUG] 2019-10-01 20-34-53.143 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7c3ebc6b
[DEBUG] 2019-10-01 20-34-53.144 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@1a3e5f23
[DEBUG] 2019-10-01 20-34-53.144 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@1a3e5f23
[DEBUG] 2019-10-01 20-34-53.144 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5c0f79f0
[DEBUG] 2019-10-01 20-34-53.146 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@29a69a35
[DEBUG] 2019-10-01 20-34-53.146 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4e904fd5
