[DEBUG] 2019-10-07 19-42-32.155 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-07 19-42-32.161 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-07 19-42-32.164 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-07 19-42-32.225 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-07 19-42-32.228 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-07 19-42-32.407 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-07 19-42-32.407 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-07 19-42-32.413 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-07 19-42-32.648 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-07 19-42-32.665 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-07 19-42-32.666 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-07 19-42-32.687 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-07 19-42-32.717 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@78d6447a
[DEBUG] 2019-10-07 19-42-32.718 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@78d6447a
[DEBUG] 2019-10-07 19-42-32.718 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@78d6447a
[DEBUG] 2019-10-07 19-42-32.719 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1f7076bc
[DEBUG] 2019-10-07 19-42-32.720 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6a472566
[DEBUG] 2019-10-07 19-42-32.721 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@8851ce1
[DEBUG] 2019-10-07 19-42-32.723 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6eb17ec8
[DEBUG] 2019-10-07 19-42-32.723 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6eb17ec8
[DEBUG] 2019-10-07 19-42-32.723 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6eb17ec8
[DEBUG] 2019-10-07 19-42-32.725 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4beaf6bd
[DEBUG] 2019-10-07 19-42-32.726 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4beaf6bd
[DEBUG] 2019-10-07 19-42-32.726 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4beaf6bd
[DEBUG] 2019-10-07 19-42-32.729 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@48528634
[DEBUG] 2019-10-07 19-42-32.729 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@48528634
[DEBUG] 2019-10-07 19-42-32.729 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@48528634
[DEBUG] 2019-10-07 19-42-32.730 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@660f0c
[DEBUG] 2019-10-07 19-42-32.731 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@660f0c
[DEBUG] 2019-10-07 19-42-32.731 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@660f0c
[DEBUG] 2019-10-07 19-42-32.732 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@35c12c7a
[DEBUG] 2019-10-07 19-42-32.732 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@35c12c7a
[DEBUG] 2019-10-07 19-42-32.732 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@35c12c7a
[DEBUG] 2019-10-07 19-42-32.733 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@17f2dd85
[DEBUG] 2019-10-07 19-42-32.733 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@17f2dd85
[DEBUG] 2019-10-07 19-42-32.734 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@17f2dd85
[DEBUG] 2019-10-07 19-42-32.735 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5d43409a
[DEBUG] 2019-10-07 19-42-32.735 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5d43409a
[DEBUG] 2019-10-07 19-42-32.735 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5d43409a
[DEBUG] 2019-10-07 19-42-32.736 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@51c959a4
[DEBUG] 2019-10-07 19-42-32.736 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@51c959a4
[DEBUG] 2019-10-07 19-42-32.738 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1effd53c
[DEBUG] 2019-10-07 19-42-32.739 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1effd53c
[DEBUG] 2019-10-07 19-42-32.740 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@6d1dcdff
[DEBUG] 2019-10-07 19-42-32.741 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@6d1dcdff
[DEBUG] 2019-10-07 19-42-32.742 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@252dc8c4
[DEBUG] 2019-10-07 19-42-32.743 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2f236de0
[DEBUG] 2019-10-07 19-42-32.745 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@9596ce8
[DEBUG] 2019-10-07 19-42-32.746 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@9596ce8
[DEBUG] 2019-10-07 19-42-32.747 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2849434b
[DEBUG] 2019-10-07 19-42-32.747 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2849434b
[DEBUG] 2019-10-07 19-42-32.757 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@277b8fa4
[DEBUG] 2019-10-07 19-42-32.757 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@277b8fa4
[DEBUG] 2019-10-07 19-42-32.761 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@4b200971
[DEBUG] 2019-10-07 19-42-32.761 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4b200971
[DEBUG] 2019-10-07 19-42-32.764 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@3bbf841e
[DEBUG] 2019-10-07 19-42-32.765 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@3bbf841e
[DEBUG] 2019-10-07 19-42-32.767 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@77bbadc
[DEBUG] 2019-10-07 19-42-32.767 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@77bbadc
[DEBUG] 2019-10-07 19-42-32.770 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@455c1d8c
[DEBUG] 2019-10-07 19-42-32.770 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@455c1d8c
[DEBUG] 2019-10-07 19-42-32.773 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@a92be4f
[DEBUG] 2019-10-07 19-42-32.774 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@a92be4f
[DEBUG] 2019-10-07 19-42-32.777 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6cc86152
[DEBUG] 2019-10-07 19-42-32.777 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6cc86152
[DEBUG] 2019-10-07 19-42-32.780 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@c3edf4c
[DEBUG] 2019-10-07 19-42-32.780 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@c3edf4c
[DEBUG] 2019-10-07 19-42-32.782 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@4d95a72e
